canonical	variant	variant_file
Wai Hang Cheng	Wai Cheng	Wai Cheng.md
Emily B. Button	Emily Button	Emily Button.md
Jennifer Cooper	Jennifer G Cooper	Jennifer G Cooper.md
Jennifer Cooper	Jennifer G. Cooper	Jennifer G. Cooper.md
Jennifer Cooper	J. Cooper	J. Cooper.md
Neil R. Cashman	Neil Cashman	Neil Cashman.md
Kevin Kang	Kevin H. Kang	Kevin H. Kang.md
Catherine M. Cowan	Catherine Cowan	Catherine Cowan.md
Gordon Francis	Gordon A. Francis	Gordon A. Francis.md
Julie A. Schneider	Julie Schneider	Julie Schneider.md
Denise Foster	Denise A. Foster	Denise A. Foster.md
Liam R. Brunham	L. R. Brunham	L. R. Brunham.md
Michael Borrie	M Borrie	M Borrie.md
Donna M. Wilcock	Donna Wilcock	Donna Wilcock.md
Alicia Algeciras‐Schimnich	Alicia Algeciras-Schimnich	Alicia Algeciras-Schimnich.md
Charlotte E. Teunissen	C. Teunissen	C. Teunissen.md
Jessica Cusato	J Cusato	J Cusato.md
Jan Albert Kuivenhoven	J.A. Kuivenhoven	J.A. Kuivenhoven.md
Socrates J. Tzartos	Socrates Tzartos	Socrates Tzartos.md
Jose Martinez‐Yriarte	Jose Yriarte	Jose Yriarte.md
Marie‐Céline Blanc	M Blanc	M Blanc.md
Ana‐Luiza Sayao	A.L. Sayao	A.L. Sayao.md
Amanda Li	Amanda M. Li	Amanda M. Li.md
Bruna Seixas Lima	Bruna Seixas-Lima	Bruna Seixas-Lima.md
Elizabeth Finger	E Finger	E Finger.md
Megan I. Harper	Megan I Harper	Megan I Harper.md
John Tzartos	John S. Tzartos	John S. Tzartos.md
Juan Fortea	Juan M. Fortea	Juan M. Fortea.md
Kenneth Rockwood	K. Rockwood	K. Rockwood.md
Michael D. Hill	M Hill	M Hill.md
M. Natasha Rajah	Maria Natasha Rajah	Maria Natasha Rajah.md
Natalie A. Phillips	Natalie Phillips	Natalie Phillips.md
Patrick Orban	P. C. Orban	P. C. Orban.md
Robert Carruthers	R.L. Carruthers	R.L. Carruthers.md
David K.B. Li	David Li	David Li.md
David K.B. Li	DKB Li	DKB Li.md
Lon S. Schneider	Lon Schneider	Lon Schneider.md
Angela L. Jefferson	Angela Jefferson	Angela Jefferson.md
Anton P. Porsteinsson	Anton Porsteinsson	Anton Porsteinsson.md
Christopher H. van Dyck	Christopher van Dyck	Christopher van Dyck.md
Claire‐Anne Gutekunst	Claire-Anne Gutekunst	Claire-Anne Gutekunst.md
Élodie Bouaziz-Amar	Elodie Bouaziz Amar	Elodie Bouaziz Amar.md
Gregory A. Jicha	Gregory Jicha	Gregory Jicha.md
John J.P. Kastelein	J Kastelein	J Kastelein.md
Jackie T. Yik	J.T. Yik	J.T. Yik.md
James B. Brewer	James Brewer	James Brewer.md
Jose Enrique Martínez Rodríguez	José Rodríguez	Jose Rodriguez.md
Ken-ichi Hirano	Ken‐ichi Hirano	Ken ichi Hirano.md
Mandar Jog	M Jog	M Jog.md
Mark Hamer	Mark Stephen Hamer	Mark Stephen Hamer.md
Tessa F. Morelli	Tessa Morelli	Tessa Morelli.md
Jennifer Chan	Jeniffer Chan	Jeniffer Chan.md
Jennifer Chan	Jennifer Y. Chan	Jennifer Y. Chan.md
Kris M. Martens	Kristina M. Martens	Kristina M. Martens.md
Kris M. Martens	Kristina Martens	Kristina Martens.md
Sonny Thiara	Sharanjit Thiara	Sharanjit Thiara.md
Rachel Zhao	Rui Qi Zhao	Rui Qi Zhao.md
Michael R. Hayden	M. R. Hayden	M. R. Hayden.md
Yanhong Deng	Y. Deng	Y. Deng.md
G. R. Wayne Moore	GR Wayne Moore	GR Wayne Moore.md
G. R. Wayne Moore	George R. Moore	George R. Moore.md
Michael Lee	Mike Lee	Mike Lee.md
Michael Carr	Mike Carr	Mike Carr.md
Tom Whyte	Thomas Whyte	Thomas Whyte.md
Michael M. Tymko	Mike Tymko	Mike Tymko.md
Nicholas Josafatow	Nik Josafatow	Nik Josafatow.md
Stephen Pasternak	SH Pasternak	SH Pasternak.md
Alice Schabas	AJ Schabas	AJ Schabas.md
Priscilla Carrion	Prescilla Carrion	Prescilla Carrion.md
Steven Zhou	Stephen Zhou	Stephen Zhou.md
Jonathan Wood	Jon D. Wood	Jon D. Wood.md
Noah D. Silverberg	Noah Noah Silverberg	Noah Noah Silverberg.md
Suzanne Vercauteren	Susan Vercauteren	Susan Vercauteren.md
Elisa Wilson	Elizabeth Wilson	Elizabeth Wilson.md
Daniele Imperiale	Daniela Imperiale	Daniela Imperiale.md
William J. Panenka	Will Panenka	Will Panenka.md
James S. Hutchison	Jamie Hutchison	Jamie Hutchison.md
Peter Körtvélyessy	Pèter Köertvelyessy	Peter Koertvelyessy.md
Peter Körtvélyessy	Peter Koertvelyessy	Peter Koertvelyessy.md
Jens Kuhle	Jens Kühle	Jens Kuhle.md
